formula,Cs,CAS,MW,feromonas,especies,totaluses,P,A,Al,K,Sy,Alelo
C18H36,18,,252.48,['P'],['Pachycondyla analis'],1,1,0,0,0,0,0
C13H19N,13,,189.3,"['P', 'P', 'P', 'P']","['Doronomyrmex goesswaldi', 'Harpagoxenus sublaevis', 'Leptothorax acervorum', 'Leptothorax muscorum']",4,4,0,0,0,0,0
C34H70,34,14167-59-0,478.92,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Cacopsylla pyricola', 'Systropha curvicornis', 'Dinarmus basalis', 'Liposcelis bostrychophila', 'Cyrtopodion scabrum', 'Chrysochus auratus', 'Chrysochus cobaltinus', 'Lepidochora discoidalis', 'Hypotrigona gribodoi', 'Temnothorax unifasciatus', 'Polistes dominulus', 'Hemidactylus turcicus']",12,12,0,0,0,0,0
C26H46O3,26,,406.64,['P'],['Tetramorium aculeatum'],1,1,0,0,0,0,0
C16H32O,16,10378-01-5,240.43,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'A', 'P']","['Diatraea flavipennella', 'Sesamia grisescens', 'Helicoverpa assulta', 'Heliothis subflexa', 'Vitula edmandsii serratilineella', 'Bombus humulis', 'Bombus hypnorum', 'Bombus lapidarius', 'Bombus muscorum', 'Bombus perplexus', 'Bombus ruderarius', 'Bombus veteranus', 'Apamea anceps', 'Melittia cucurbitae']",14,13,1,0,0,0,1
C2H7NO3S,2,107-35-7,125.15,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Mustela putorius', 'Arctictis binturong', 'Genetta tigrina erlangeri', 'Macaca mulatta', 'Mesocricetus auratus', 'Canis familiaris', 'Puma concolor', 'Panthera leo', 'Panthera tigris', 'Equus caballus', 'Mus musculus', 'Rattus norvegicus']",12,12,0,0,0,0,0
C18H36O,18,143-28-2,268.48,"['A', 'P', 'P', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Blattella germanica', 'Cerconota anonella', 'Eldana saccharina', 'Philonthus carbonarius', 'Philonthus fuscipennis', 'Philonthus sanguinolentus', 'Philonthus splendens', 'Philonthus varius', 'Xylocopa micheneri', 'Bombus consobrinus', 'Bombus hortorum', 'Bombus ruderarius', 'Bombus veteranus', 'Frieseomelitta varia', 'Philanthus triangulum']",15,9,1,5,0,0,6
C8H10O,8,123-07-9,122.16,"['Al', 'Al', 'Al', 'Al', 'Al', 'P', 'K', 'K', 'K', 'Al', 'Al', 'P', 'P', 'P']","['Callipodella fasciata', 'Blatta orientalis', 'Periplaneta americana', 'Periplaneta brunnea', 'Periplaneta fuliginosa', 'Microtus pinetorum', 'Culicoides impunctatus', 'Culex quinquefasciatus', 'Culex tarsalis', 'Serboiulus deelemani', 'Typhloiulus serborum', 'Loxodonta africana', 'Mus musculus', 'Rattus norvegicus']",14,4,0,7,3,0,10
C31H62,31,,434.82,"['P', 'P', 'P']","['Agelastica alni', 'Drosophila recens', 'Drosophila subquinaria']",3,3,0,0,0,0,0
C8H16O2,8,,144.21,"['P', 'P', 'P', 'P', 'A']","['Plagionotus detritus detritus', 'Xylotrechus antilope', 'Xylotrechus chinensis', 'Xylotrechus pyrrhoderus', 'Xylotrechus rufilius']",5,4,1,0,0,0,1
C6H12O2,6,142-62-1,116.16,"['Al', 'P', 'P', 'P', 'P', 'P', 'A', 'A', 'K', 'Al', 'Al', 'A', 'A', 'P', 'P', 'P', 'P', 'K', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P', 'A', 'A', 'A', 'A', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'A', 'A', 'A', 'A', 'P', 'P', 'P', 'P', 'P', 'P', 'K', 'K', 'K', 'P', 'A', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Elasmopoda valga', 'Polycentropus flavomaculatus', 'Rangifer tarandus tarandus', 'Tayassu pecari', 'Cynictis penicillata', 'Ailuropoda melanoleuca', 'Clinteria ducalis', 'Lema unicolor', 'Oryzaephilus surinamensis', 'Periplaneta americana', 'Periplaneta brunnea', 'Olcella parva', 'Lutzomyia longipalpis', 'Alydus eurinus', 'Alydus pilosulus', 'Eurygaster maura', 'Diaphorina citri', 'Melittobia digitata', 'Dufourea minuta', 'Dufourea novaeangliae', 'Amauris albimaculata', 'Amauris ochlea', 'Aotus nancymaae', 'Hystrix cristata', 'Myocastor coypus', 'Phryganea grandis', 'Rhyacophila fasciata', 'Rhyacophila nubila', 'Rhyacophila obliterata', 'Mastigoproctus giganteus', 'Damaliscus dorcas dorcas', 'Damaliscus dorcas phillipsi', 'Alcelaphus buselaphus caama', 'Camelus bactrianus', 'Cervus nippon', 'Canis mesomelas', 'Lycaon pictus', 'Acinonyx jubatus', 'Panthera pardus', 'Promecoderus mastersi', 'Promecoderus sp', 'Calosoma oceanicum', 'Calosoma schayeri', 'Oodes americanus', 'Laccopterum foveigerum', 'Duvalius milutini', 'Trogoderma glabrum', 'Trogoderma granarium', 'Limonius canus', 'Macrodactylus murinus', 'Macrodactylus nigripes', 'Macrodactylus subspinosus', 'Phyllophaga anxia', 'Eusphalerum limbatum', 'Eusphalerum marshami', 'Eusphalerum ophthalmicum', 'Eurycotis decipiens', 'Eurycotis floridana', 'Lucilia sericata', 'Anopheles gambiae', 'Aedes aegypti', 'Aedes albopictus', 'Culex quinquefasciatus', 'Riptortus serripes', 'Leptoglossus zonatus', 'Hygia lativentris', 'Amblypelta nitida', 'Anoplocnemis montandorii', 'Pternistria bispina', 'Euschistus tristigmus', 'Chinavia hilaris', 'Eurydema oleraceum', 'Andrena jacobi', 'Eucera kullenbergi', 'Bombus confusus', 'Meliponula ferruginea', 'Trigona hyalinata', 'Trigona truculenta', 'Trypoxylon politum', 'Philanthus triangulum', 'Lasius fuliginosus', 'Acromyrmex octospinosus', 'Polistes dominulus', 'Zootermopsis angusticollis', 'Zootermopsis nevadensis', 'Euproctis pulverea', 'Papilio protenor demetrius', 'Ceraeochrysa cubana', 'Mandrillus sphinx', 'Phodopus sungorus sungorus', 'Rattus norvegicus', 'Hemidactylus flaviviridis', 'Hemidactylus turcicus', 'Liolaemus bellii', 'Liolaemus dorbignyi', 'Liolaemus fabiani', 'Liolaemus fitzgeraldi', 'Liolaemus nigroroseus', 'Liolaemus ornatus', 'Liolaemus tenuis']",100,66,13,16,5,0,34
C8H16O,8,6137-11-7,128.21,"['P', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'P', 'A', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'A', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P']","['Ictonyx striatus', 'Ocypus olens', 'Ocypus similis', 'Pappognatha pertyi', 'Mischonyx cuspidatus', 'Hadrobunus maculosus', 'Leiobunum formosum', 'Leiobunum leiopenis', 'Leiobunum speciosum', 'Leiobunum townsendi', 'Leiobunum ventricosum', 'Leiobunum vittatum', 'Scolytus multistriatus', 'Scolytus scolytus', 'Apocephalus paraponerae', 'Cerapachys jacobsoni', 'Cerapachys sp', 'Hypoclinea bidens', 'Aenictus rotundatus', 'Eciton burchelli', 'Eciton hamatum', 'Camponotus arminius', 'Acromyrmex landolti', 'Atta bisphaerica', 'Atta capiguara', 'Atta cephalotes', 'Atta colombica', 'Atta laevigata', 'Atta laevigata', 'Atta opaciceps', 'Atta robusta', 'Atta sexdens', 'Atta sexdens rubropilosa', 'Atta sexdens sexdens', 'Atta texana', 'Sericomyrmex amabilis', 'Trachymyrmex seminole', 'Manica bradleyi', 'Manica mutica', 'Pogonomyrmex badius', 'Pogonomyrmex barbatus', 'Pogonomyrmex californicus', 'Pogonomyrmex desertorum', 'Pogonomyrmex occidentalis', 'Pogonomyrmex rugosus', 'Pogonomyrmex rugosus', 'Pogonomyrmex salinus', 'Paraponera clavata', 'Harpegnathos saltator', 'Leptogenys diminuta', 'Neoponera villosa', 'Odontoponera transversa', 'Pseudomyrmex flavicornis', 'Pseudomyrmex nigrocincta', 'Pseudomyrmex spinicola', 'Timulla dubitata', 'Timulla ferrugata', 'Dasymutilla archboldi', 'Dasymutilla cypris', 'Dasymutilla klugii', 'Dasymutilla lepeletierii', 'Dasymutilla mutata', 'Dasymutilla nigripes', 'Dasymutilla occidentalis', 'Dasymutilla pyrrhus', 'Dasymutilla vesta', 'Traumatomutilla indica', 'Chaetopteryx villosa', 'Limnephilus nigriceps', 'Limnephilus politus', 'Potamophylax luctuosus']",71,45,2,24,0,0,26
C32H48O7,32,13201-14-4,544.72,"['K', 'K']","['Aulacophora femoralis', 'Cerotoma arcuata']",2,0,0,0,2,0,2
C27H56,27,,380.73,"['Al', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Leptopilina japonica', 'Leptopilina ryukyuensis', 'Lycaeides argyrognomon', 'Semanotus japonicus', 'Anoplophora malasiaca', 'Rhagium mordax', 'Chrysomela cuprea', 'Chrysomela vigintipunctata', 'Timarcha tenebricosa', 'Lachnaea sexpunctata', 'Galeruca tanaceti', 'Adalia bipunctata', 'Curculio caryae', 'Eremostibes barbatus', 'Stenocara gracilipes', 'Iridomyrmex nitidiceps', 'Formica fusca', 'Temnothorax lichtensteini', 'Temnothorax nylanderi', 'Temnothorax unifasciatus', 'Odontomachus brunneus']",21,19,0,2,0,0,2
C31H64,31,,436.84,"['P', 'P', 'P', 'P', 'P', 'P', 'P']","['Muscidifurax uniraptor', 'Nasonia vitripennis', 'Timarcha tenebricosa', 'Parastizopus armaticeps armaticeps', 'Temnothorax parvulus', 'Temnothorax recedens', 'Zootermopsis nevadensis']",7,7,0,0,0,0,0
C10H16N2,10,,164.25,['P'],['Wasmannia auropunctata'],1,1,0,0,0,0,0
C21H38O,21,,306.53,"['P', 'P', 'P', 'P', 'P']","['Orgyia leucostigma', 'Orgyia pseudotsugata', 'Orgyia vetusta', 'Orgyia vetusta', 'Teia anartoides']",5,5,0,0,0,0,0
C16H30O,16,,238.41,"['P', 'P']","['Bombus alpinus', 'Bombus polaris']",2,2,0,0,0,0,0
C31H64,31,,436.84,"['Al', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Leptopilina japonica', 'Leptopilina ryukyuensis', 'Muscidifurax raptorellus', 'Muscidifurax uniraptor', 'Cryptotermes secundus', 'Liposcelis bostrychophila', 'Eremostibes bushmanicus', 'Eremostibes opacus', 'Parastizopus armaticeps armaticeps', 'Planostibes cribricollis', 'Planostibes namaqua', 'Metriopus depressus', 'Onymacris rugatipennis', 'Stenocara gracilipes', 'Triatoma infestans', 'Cataglyphis iberica', 'Temnothorax lichtensteini', 'Temnothorax unifasciatus']",18,16,0,2,0,0,2
C6H12O2,6,,116.16,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","['Anaglyptus gibbosus', 'Anaglyptus mysticus', 'Callidiellum villosulum', 'Callidium abdominalis', 'Callidium aeneum', 'Callidium coriaceum', 'Leioderes kollari', 'Phymatodes testaceus', 'Poecilium alni', 'Pyrrhidium sanguineum', 'Semanotus sinoauster', 'Adrium sp', 'Bethelium signiferum', 'Bethelium sp', 'Bethelium spinicorne', 'Bethelium tillides', 'Ceresium sinicum', 'Ceresium sp', 'Cerambyx cerdo', 'Cerambyx scopolii', 'Cerambyx welensii', 'Pachydissus sericus', 'Certallum ebulinum', 'Chlorophorus curtisi', 'Chlorophorus figuratus', 'Chlorophorus glabromaculatus', 'Chlorophorus glaucus', 'Chlorophorus sartor', 'Chlorophorus trifasciatus', 'Chlorophorus varius', 'Clytus arietis', 'Clytus lama', 'Clytus rhamni', 'Clytus tropicus', 'Demonax gracilestriatus', 'Demonax literatus literatus', 'Plagionotus arcuatus', 'Plagionotus detritus', 'Xylotrechus altaicus', 'Xylotrechus antilope', 'Xylotrechus arvicola', 'Xylotrechus atronotatus draconiceps', 'Xylotrechus australis', 'Xylotrechus buqueti', 'Xylotrechus incurvatus', 'Xylotrechus reginae', 'Xylotrechus sp', 'Xylotrechus stebbingi', 'Gracilia minuta', 'Penichroa fasciata', 'Hesperophanes sericeus', 'Trichoferus fasciculatus', 'Trichoferus holosericeus', 'Trichoferus pallidus', 'Aridaeus thoracicus', 'Cremys diopthalmus', 'Hylotrupes bajulus', 'Obrium cantharinum', 'Purpuricenus budensis', 'Purpuricenus globulicollis', 'Brachytria centralis', 'Obrida comate', 'Amphirhoe decora', 'Callimus angulatus', 'Stenopterus ater', 'Stenopterus rufus', 'Tilloforma sp', 'Rhinopthalmus modestus', 'Acanthocinus aedilis', 'Acanthocinus griseus', 'Didymocentrotus denticollis', 'Leiopus femoratus', 'Leiopus linnei', 'Deroplia troberti', 'Lamia textor', 'Mesosa nebulosa', 'Acalolepta mixta', 'Morimus asper', 'Pogonocherus caroli', 'Pogonocherus hispidulus', 'Pogonocherus hispidus', 'Pogonocherus ovatus', 'Niphona picticornis', 'Rhytiphora bankii', 'Rhytiphora basalis', 'Rhytiphora pedicornis', 'Rhytiphora piperitia', 'Ancita antennata', 'Ancita marginicollis', 'Ancita varicornis', 'Bucynthia spiloptera', 'Saperda carcharias', 'Saperda scalaris', 'Saperda similis', 'Zygocera pruinosa', 'Anastrangalia sanguinolenta', 'Cortodera humeralis suturalis', 'Grammoptera ustulata', 'Pachytodes cerambyciformis', 'Paracorymbia hybrida', 'Stenurella bifasciata', 'Stictoleptura scutellata', 'Acmaeops marginatus', 'Acmaeops septentrionis', 'Oxymirus cursor', 'Rhagium bifasciatum', 'Rhagium sycophanta', 'Rhamnusium bicolor', 'Aegosoma scabricorne', 'Prionus coriarius', 'Phaolus metallicum', 'Arhopalus syriacus', 'Oxypleurus nodieri', 'Saphanus piceus', 'Spondylis buprestoides', 'Tetropium gabrieli']",116,0,116,0,0,0,116
C31H62,31,,434.82,"['P', 'P', 'P', 'P', 'P', 'P']","['Fannia femoralis', 'Fannia pusio', 'Systropha curvicornis', 'Trioxys angelicae', 'Apis mellifera', 'Melipona marginata']",6,6,0,0,0,0,0
C6H10O,6,6789-80-6,98.14,"['A', 'A', 'Al', 'P', 'A', 'P', 'P', 'P', 'A', 'K']","['Myllocerinus aurolineatus', 'Gastrophysa viridula', 'Eurycotis floridana', 'Dolycoris baccarum', 'Cotesia marginiventris', 'Nematus bergmanni', 'Nematus melanaspis', 'Nematus pavidus', 'Ectropis obliqua', 'Cydia nigricana']",10,4,4,1,1,0,6
C27H54,27,,378.72,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Asobara tabida', 'Byctiscus populi', 'Anaglyptus mysticus', 'Vadonia livida', 'Rhagium mordax', 'Chrysomela vigintipunctata', 'Gastrophysa viridula', 'Phaedon cochleariae', 'Timarcha tenebricosa', 'Agelastica alni', 'Phyllobius pyri', 'Myoleja lucida', 'Bombus appositus', 'Bombus confusus', 'Bombus cullumanus', 'Bombus hypnorum', 'Bombus lapidarius', 'Bombus lucorum', 'Bombus mesomelas', 'Bombus muscorum muscorum', 'Bombus pascuorum', 'Bombus pomorum', 'Bombus semenoviellus', 'Bombus terrestris', 'Bombus terricola occidentalis', 'Euglossa amazonica', 'Euglossa augaspis', 'Euglossa bursigera', 'Euglossa chalybeata', 'Euglossa championi', 'Euglossa cognata', 'Euglossa cordata', 'Euglossa crassipunctata', 'Euglossa cybelia', 'Euglossa dodsoni', 'Euglossa erythrochlora', 'Euglossa flammea', 'Euglossa gorgonensis', 'Euglossa hansoni', 'Euglossa hemichlora', 'Euglossa heterosticta', 'Euglossa ignita', 'Euglossa imperialis', 'Euglossa intersecta', 'Euglossa milenae', 'Euglossa prasina', 'Euglossa sapphirina', 'Euglossa tridendata', 'Euglossa variabilis', 'Euglossa villosiventris', 'Euglossa viridissima', 'Cataglyphis humeya', 'Bembix pruinosa', 'Macrotermes subhyalinus', 'Papilio protenor demetrius']",55,55,0,0,0,0,0
C12H23NO3,12,,229.32,"['Al', 'Al', 'Al']","['Anopheles bancroftii', 'Anopheles meraukensis', 'Culex annulirostris']",3,0,0,3,0,0,3
C10H20O2,10,112-14-1,172.26,"['P', 'A', 'P', 'P', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'Al', 'P', 'Al', 'P']","['Chrysocoris purpureus', 'Dacus ciliatus', 'Leptoglossus occidentalis', 'Leptoglossus zonatus', 'Leptocorisa apicalis', 'Leptocorisa oratorius', 'Phytocoris calli', 'Phytocoris difficilis', 'Andrena haemorrhoa', 'Andrena nigroaenea', 'Apis dorsata', 'Apis mellifera', 'Apis mellifera', 'Augochloropsis electra', 'Phodopus sungorus sungorus']",15,11,1,3,0,0,4
C20H38O2,20,693-80-1,310.51,"['Al', 'P', 'P', 'P', 'P', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Linaeidea aenea', 'Asobara tabida', 'Myrmecia pilosula', 'Parischnogaster mellyi', 'Cerconota anonella', 'Suocerathrips linguis', 'Drosophila testacea', 'Bombus confusus', 'Bombus muscorum', 'Bombus veteranus', 'Frieseomelitta trichocerata', 'Frieseomelitta varia', 'Lestrimelitta limao', 'Synanthedon haitangvora']",14,12,0,2,0,0,2
C10H6O2,10,130-15-4,158.15,"['P', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'Al', 'Al', 'P', 'P']","['Austropurcellia forsteri', 'Stylocellus sp', 'Telodeinopus aoutii', 'Rhagophthalmus ohbai', 'Carinostoma carinatum', 'Carinostoma elegans', 'Carinostoma ornatum', 'Paranemastoma quadripunctatum', 'Phalangium opilio', 'Rilaena triangularis', 'Cyphophthalmus duricorius', 'Siro exilis']",12,4,0,8,0,0,8
C10H10O2,10,120-58-1,162.19,"['A', 'A', 'A', 'A', 'A', 'A', 'A']","['Clinteroides permutans', 'Oxythyrea amethystina', 'Oxythyrea haemorrhoidalis', 'Oxythyrea lucens', 'Oxythyrea rubra', 'Oxythyrea testaceoguttata', 'Plaestorrhina recurva plana']",7,0,7,0,0,0,7
C16H28O,16,69977-24-8,236.4,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'A', 'P', 'P', 'P', 'P', 'P', 'P', 'A', 'P', 'P', 'P', 'A', 'A', 'P', 'P', 'A']","['Conogethes pluto', 'Diaphania glauculalis', 'Diaphania hyalinata', 'Maruca vitrata', 'Maruca vitrata', 'Notarcha basipunctalis', 'Notarcha derogata', 'Palpita indica', 'Palpita indica', 'Earias insulana', 'Earias vittella', 'Schreckensteinia festaliella', 'Agathodes ostentalis', 'Terastia subjectalis', 'Hemileuca maia', 'Hemaris affinis', 'Deilephila elpenor', 'Deilephila elpenor lewisii', 'Deilephila porcellus', 'Hippotion celerio', 'Hyles gallii', 'Neogurelca himachala sangaica', 'Proserpinus flavofasciata', 'Theretra japonica', 'Theretra oldenlandiae oldenlandiae', 'Manduca sexta', 'Sphinx pinastri']",27,22,5,0,0,0,5
C22H42O2,22,58296-51-8,338.57,"['P', 'P', 'P', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Hylaeus modestus', 'Nomia nevadensis', 'Nomia triangulifera', 'Armitermes chagresi', 'Armitermes neotenicus', 'Uncitermes teevani', 'Colletes thoracicus', 'Caupolicana yarrowi', 'Crawfordapis luctuosa', 'Ptiloglossa jonesi', 'Augochlora pura mosieri', 'Augochlora pura pura', 'Augochlorella striata', 'Augochloropsis metallica', 'Megalopta centralis', 'Megalopta genalis', 'Agapostemon radiatus', 'Agapostemon splendens', 'Agapostemon texanus', 'Dialictus coeruleus', 'Dialictus cressonii', 'Dialictus laevissimus', 'Dialictus lineatulus', 'Dialictus nymphalis', 'Dialictus pilosus', 'Dialictus rohweri', 'Dialictus tamiamensis', 'Dialictus versatus', 'Evylaeus carneiventre', 'Evylaeus politum', 'Evylaeus quebecensis', 'Evylaeus truncatus', 'Halictus confusus', 'Halictus eurygnathus', 'Halictus hesperus', 'Halictus leucaheneus', 'Halictus ligatus', 'Halictus parallelus', 'Halictus resurgens', 'Halictus rubicundus', 'Halictus tumulorum', 'Lasioglossum aeratum', 'Lasioglossum boreale', 'Lasioglossum calceatum', 'Lasioglossum coriaceum', 'Lasioglossum fulvicorne', 'Lasioglossum fuscipenne', 'Lasioglossum leucopum', 'Lasioglossum malachurum', 'Lasioglossum morio', 'Lasioglossum pauxillum', 'Lasioglossum villosulum', 'Lasioglossum zephyrum']",53,50,0,3,0,0,3
C31H64,31,,436.84,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Oncopeltus fasciatus', 'Diaprepes abbreviatus', 'Onymacris bicolor', 'Cataglyphis iberica', 'Temnothorax lichtensteini', 'Temnothorax nylanderi', 'Temnothorax parvulus', 'Temnothorax racovitzai', 'Temnothorax recedens', 'Temnothorax unifasciatus']",10,10,0,0,0,0,0
C21H32O4,21,,348.48,['Al'],['Necrophila americana'],1,0,0,1,0,0,1
C24H32O4,24,465-39-4,384.51,"['P', 'P', 'P', 'P', 'P']","['Rhaebo guttatus', 'Rhinella marina', 'Bufo asper', 'Bufo bufo gargarizans', 'Bufo spinolosus']",5,5,0,0,0,0,0
C9H10O3,9,,166.17,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","['Serboiulus deelemani', 'Serboiulus kresnik', 'Serboiulus lucifugus', 'Typhloiulus aff. lobifer', 'Typhloiulus bureschi', 'Typhloiulus georgievi', 'Typhloiulus nevoi', 'Typhloiulus serborum']",8,0,0,8,0,0,8
C10H16,10,99-86-5,136.23,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'K', 'K', 'A', 'A', 'P', 'Al', 'P', 'P', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P']","['Oxyops vitiosa', 'Lacessititermes laborator', 'Lacessititermes ransoneti', 'Longipeditermes longipes', 'Amitermes beaumonti', 'Amitermes papuanus', 'Plutella xylostella', 'Carabus lefebvrei', 'Monochamus alternatus', 'Leptinotarsa decemlineata', 'Dendroctonus ponderosae', 'Dryocoetes confusus', 'Ips typographus', 'Planostibes scymnulus', 'Niesthrea louisianica', 'Aphis idaei', 'Myrmicaria natalensis', 'Nasutitermes columbicus', 'Nasutitermes corniger', 'Nasutitermes ephratae', 'Nasutitermes guayanae', 'Nasutitermes nigriceps', 'Nasutitermes polygynus', 'Nasutitermes rufirostris', 'Ectropis obliqua', 'Papilio glaucus']",26,5,2,17,2,0,21
C12H24O2,12,112-17-4,200.32,"['P', 'P', 'P', 'P', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Batrachedra amydraula', 'Cossus cossus', 'Anarsia lineatella', 'Laemostenus punctatus', 'Drypta australis', 'Drypta japonica', 'Planetes puncticeps', 'Galerita lecontei', 'Galeritula japonica', 'Diploharpus laevissimus', 'Catapiesis attenuata', 'Catapiesis sulcipennis', 'Oxytelus piceus', 'Platystethus arenarius', 'Bledius spectabilis', 'Andrena haemorrhoa', 'Apis dorsata', 'Formica pergandei', 'Formica rufibarbis', 'Formica sanguinea', 'Formica sanguinea', 'Formica schaufussi', 'Formica subintegra', 'Polyergus rufescens', 'Polyergus sanwaldi', 'Polyergus topoffi', 'Lasius niger', 'Actebia fennica', 'Agrotis segetum', 'Agrotis segetum', 'Euxoa drewseni', 'Euxoa ochrogaster', 'Cryptophlebia leucotreta', 'Lobesia botrana', 'Bonagota salubricola', 'Frankliniella occidentalis']",36,24,0,12,0,0,12
C24H50,24,,338.65,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Systropha curvicornis', 'Agrilus obsoletoguttatus', 'Brachys ovatus', 'Chrysobothris azurea', 'Adalia bipunctata', 'Culicoides melleus', 'Anastrepha fraterculus', 'Ampulex compressa', 'Philanthus triangulum', 'Sirex noctilio', 'Zootermopsis nevadensis', 'Pieris rapae']",12,12,0,0,0,0,0
C12H22O2,12,81634-99-3,198.3,"['A', 'A', 'A', 'A', 'P', 'P', 'P', 'P', 'A', 'A', 'A', 'A', 'A']","['Coleophora auricella', 'Coleophora serpylletorum', 'Coleophora sternipennela', 'Coleophora versurella', 'Coleophora viminetella', 'Cossus cossus', 'Eustrotia uncula', 'Agonopterix yeatiana', 'Depressaria depressana', 'Depressaria olerella', 'Dacus ciliatus', 'Euxoa distinguenda', 'Euxoa eruta']",13,4,9,0,0,0,9
C9H11NO4,9,,197.19,['P'],['Cetonia aurata'],1,1,0,0,0,0,0
C9H8,9,95-13-6,116.16,['P'],['Smicridea annulicornis'],1,1,0,0,0,0,0
C10H18O,10,30820-22-5,154.25,"['P', 'A', 'A', 'P', 'P', 'P', 'A', 'P', 'P', 'P', 'P', 'P', 'P']","['Pseudopiazurus papayanus', 'Rhabdoscelus obscurus', 'Dectes texanus texanus', 'Anthonomus grandis', 'Anthonomus rubi', 'Curculio caryae', 'Conorrhynchus mendicus', 'Pissodes approximatus', 'Pissodes nemorensis', 'Pissodes strobi', 'Pityogenes bidentatus', 'Pityogenes calcaratus', 'Pityophthorus pityographus']",13,10,3,0,0,0,3
